"","season","season_avg","season_obp","season_slg","season_ops","num_hr","hr_rate","bb_pct","k_pct","bb_k_ratio","sac_rate","three_true"
"97",1967,0.242,0.303,0.357,0.66,2299,0.0188691634041645,0.079325995781318,0.159333218427597,0.497862257250296,0.012147177833042,0.25752837761308
"98",1968,0.237,0.295,0.34,0.635,1995,0.0165127135478745,0.0757846642828764,0.158447556615018,0.478294938097477,0.0124735134419282,0.250744934445769
"99",1969,0.248,0.316,0.369,0.685,3119,0.0210485824768358,0.0906256537612784,0.151659119590231,0.597561518266364,0.0112632523737861,0.263333355828345
"100",1970,0.254,0.322,0.385,0.707,3429,0.0229653343334762,0.0919350085726532,0.149847299614231,0.613524626798963,0.0109167381054436,0.26474764252036
"101",1971,0.249,0.313,0.365,0.678,2863,0.0195173495125775,0.0854591315018065,0.142859090599223,0.598205764458866,0.0122844092985207,0.247835571613607
"102",1972,0.244,0.307,0.354,0.661,2534,0.018106854737865,0.0837960084889279,0.148041758665781,0.566029539530843,0.0125618984329782,0.249944621892574
"103",1973,0.257,0.322,0.379,0.701,3102,0.0208499969753389,0.0880512444799935,0.136835666803337,0.643481677964437,0.0104182770186252,0.245736908258669
"104",1974,0.257,0.32,0.369,0.689,2649,0.0177958415908098,0.0870847469013469,0.130959658728293,0.664973838104032,0.0116489200900205,0.235840247220449
"105",1975,0.258,0.323,0.374,0.697,2698,0.0181535583800405,0.0901756817677179,0.129725947207999,0.695124481327801,0.012602525887997,0.238055187355757
"106",1976,0.255,0.316,0.361,0.677,2235,0.0151424816054418,0.0839442268865432,0.127000365858616,0.66097626033609,0.0121410859225735,0.226087074350601
"107",1977,0.264,0.326,0.401,0.727,3644,0.0225569029446539,0.0851578797501656,0.134462416510365,0.63332105699291,0.0109132326815106,0.242177199205185
"108",1978,0.258,0.319,0.379,0.698,2956,0.0185687723001156,0.0852178501432233,0.125998793909242,0.676338618007777,0.0124755012814714,0.229785416352581
"109",1979,0.265,0.326,0.397,0.723,3433,0.021405679083166,0.0848058960705334,0.124923617952587,0.678861991514849,0.0118158350896008,0.231135193106286
"110",1980,0.265,0.323,0.388,0.711,3087,0.0191489361702128,0.0818187457353762,0.125376837665157,0.652582624183653,0.0116804168475901,0.226344519570746
"111",1981,0.256,0.316,0.369,0.685,1781,0.016819023155668,0.0837457031692668,0.125004721792014,0.669940318803354,0.0118233672043214,0.225569448116949
"112",1982,0.261,0.32,0.389,0.709,3379,0.0209740291985301,0.0825677823021154,0.13172236567683,0.626831911785495,0.0108004767106962,0.235264177177475
"113",1983,0.261,0.322,0.389,0.711,3301,0.0205522522802976,0.0841639946455811,0.135205304610404,0.622490329710812,0.00971889300501198,0.239921551536282
"114",1984,0.26,0.32,0.385,0.705,3258,0.0202907215724375,0.0829565412353798,0.140129292627331,0.592,0.0089371348853431,0.243376555435148
"115",1985,0.257,0.32,0.391,0.711,3602,0.0224675648702595,0.086314870259481,0.140038672654691,0.616364527192553,0.00965568862275449,0.248821107784431
